D,2013-07-26,0.3400,0.3400,0.3400,0.3400,0,0
D,2013-07-25,0.3400,0.3400,0.3400,0.3400,0,0
D,2013-07-24,0.3400,0.3400,0.3400,0.3400,0,0
D,2013-07-23,0.3400,0.3400,0.3400,0.3400,100,0
D,2013-07-22,0.3300,0.3300,0.3300,0.3300,0,0
D,2013-07-19,0.3300,0.3300,0.3300,0.3300,100,0
D,2013-07-18,0.2950,0.3100,0.2950,0.3100,690,0
D,2013-07-17,0.2850,0.2850,0.2850,0.2850,0,0
D,2013-07-16,0.2850,0.2850,0.2850,0.2850,0,0
D,2013-07-15,0.2850,0.2850,0.2850,0.2850,0,0
D,2013-07-12,0.2850,0.2850,0.2850,0.2850,0,0
D,2013-07-11,0.2850,0.2850,0.2850,0.2850,110,0
D,2013-07-10,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-07-09,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-07-08,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-07-05,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-07-04,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-07-03,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-07-02,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-07-01,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-28,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-27,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-26,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-25,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-24,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-21,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-20,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-19,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-18,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-17,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-14,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-13,0.2900,0.2900,0.2900,0.2900,100,0
D,2013-06-12,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-11,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-10,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-07,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-06,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-05,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-04,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-06-03,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-31,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-30,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-29,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-28,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-27,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-23,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-22,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-21,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-20,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-17,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-16,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-15,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-14,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-13,0.2900,0.2900,0.2900,0.2900,0,0
D,2013-05-10,0.2950,0.2950,0.2900,0.2900,800,0
D,2013-05-09,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-05-08,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-05-07,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-05-06,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-05-03,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-05-02,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-30,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-29,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-26,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-25,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-24,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-23,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-22,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-19,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-18,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-17,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-16,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-15,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-12,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-11,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-10,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-09,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-08,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-05,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-04,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-03,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-02,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-04-01,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-29,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-28,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-27,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-26,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-25,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-22,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-21,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-20,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-19,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-18,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-15,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-14,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-13,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-12,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-11,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-08,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-07,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-06,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-05,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-04,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-03-01,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-28,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-27,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-26,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-25,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-22,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-21,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-20,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-19,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-18,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-15,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-14,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-13,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-08,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-07,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-06,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-05,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-02-04,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-31,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-30,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-29,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-25,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-23,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-22,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-21,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-18,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-17,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-16,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-15,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-14,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-11,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-10,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-09,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-08,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-07,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-04,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-03,0.1500,0.1500,0.1500,0.1500,0,0
D,2013-01-02,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-31,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-28,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-27,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-26,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-24,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-21,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-20,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-19,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-18,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-17,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-14,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-13,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-12,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-11,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-10,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-07,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-06,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-05,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-04,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-12-03,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-11-30,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-11-29,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-11-28,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-11-27,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-11-26,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-11-23,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-11-22,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-11-21,0.1500,0.1500,0.1500,0.1500,0,0
D,2012-11-20,0.1500,0.1500,0.1500,0.1500,0,0
