D,2013-03-19,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-03-18,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-03-15,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-03-14,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-03-13,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-03-12,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-03-11,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-03-08,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-03-07,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-03-06,0.0050,0.0050,0.0050,0.0050,1500,0
D,2013-03-05,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-03-04,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-03-01,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-28,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-27,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-26,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-25,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-22,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-21,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-20,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-19,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-18,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-15,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-14,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-13,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-08,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-07,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-06,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-05,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-02-04,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-31,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-30,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-29,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-25,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-23,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-22,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-21,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-18,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-17,0.0050,0.0050,0.0050,0.0050,170,0
D,2013-01-16,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-15,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-14,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-11,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-10,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-09,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-08,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-07,0.0050,0.0050,0.0050,0.0050,1000,0
D,2013-01-04,0.0050,0.0050,0.0050,0.0050,800,0
D,2013-01-03,0.0050,0.0050,0.0050,0.0050,0,0
D,2013-01-02,0.0050,0.0050,0.0050,0.0050,0,0
D,2012-12-31,0.0050,0.0050,0.0050,0.0050,0,0
D,2012-12-28,0.0050,0.0050,0.0050,0.0050,100,0
D,2012-12-27,0.0050,0.0050,0.0050,0.0050,0,0
D,2012-12-26,0.0050,0.0050,0.0050,0.0050,0,0
D,2012-12-24,0.0050,0.0050,0.0050,0.0050,0,0
D,2012-12-21,0.0050,0.0050,0.0050,0.0050,500,0
D,2012-12-20,0.0050,0.0050,0.0050,0.0050,450,0
D,2012-12-19,0.0050,0.0050,0.0050,0.0050,0,0
D,2012-12-18,0.0050,0.0050,0.0050,0.0050,0,0
D,2012-12-17,0.0050,0.0050,0.0050,0.0050,4000,0
D,2012-12-14,0.0050,0.0050,0.0050,0.0050,0,0
D,2012-12-13,0.0050,0.0050,0.0050,0.0050,0,0
D,2012-12-12,0.0050,0.0050,0.0050,0.0050,0,0
D,2012-12-11,0.0050,0.0050,0.0050,0.0050,0,0
