D,2014-10-14,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-10-13,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-10-10,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-10-09,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-10-08,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-10-07,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-10-03,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-10-02,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-10-01,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-09-30,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-09-29,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-09-26,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-09-25,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-09-24,1.0400,1.0400,1.0400,1.0400,0,0
D,2014-09-23,1.0400,1.0400,1.0400,1.0400,100,0
D,2014-09-22,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-19,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-18,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-17,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-15,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-12,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-11,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-10,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-09,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-08,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-05,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-04,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-03,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-09-02,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-29,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-28,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-27,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-26,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-25,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-22,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-21,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-20,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-19,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-18,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-15,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-14,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-13,0.9150,0.9150,0.9150,0.9150,0,0
D,2014-08-12,0.9150,0.9150,0.9150,0.9150,200,0
D,2014-08-11,0.8650,0.8650,0.8650,0.8650,0,0
D,2014-08-08,0.8650,0.8650,0.8650,0.8650,0,0
D,2014-08-07,0.8650,0.8650,0.8650,0.8650,200,0
D,2014-08-06,0.8650,0.8650,0.8650,0.8650,0,0
D,2014-08-05,0.8650,0.8650,0.8650,0.8650,0,0
D,2014-08-04,0.8650,0.8650,0.8650,0.8650,0,0
D,2014-08-01,0.8650,0.8650,0.8650,0.8650,0,0
D,2014-07-31,0.8650,0.8650,0.8650,0.8650,0,0
D,2014-07-30,0.8650,0.8650,0.8650,0.8650,0,0
D,2014-07-25,0.8650,0.8650,0.8650,0.8650,0,0
D,2014-07-24,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-23,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-22,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-21,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-18,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-17,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-16,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-14,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-11,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-10,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-09,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-08,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-07,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-04,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-03,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-02,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-07-01,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-30,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-27,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-26,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-25,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-24,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-23,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-20,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-19,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-18,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-17,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-16,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-13,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-12,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-11,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-10,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-09,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-06,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-05,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-04,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-03,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-06-02,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-30,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-29,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-28,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-27,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-26,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-23,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-22,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-21,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-20,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-19,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-16,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-15,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-14,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-12,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-09,0.5650,0.5650,0.5650,0.5650,0,0
D,2014-05-08,0.5650,0.5650,0.5650,0.5650,800,0
D,2014-05-07,0.5850,0.5850,0.5850,0.5850,0,0
D,2014-05-06,0.5850,0.5850,0.5850,0.5850,800,0
D,2014-05-05,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-05-02,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-30,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-29,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-28,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-25,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-24,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-23,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-22,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-21,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-18,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-17,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-16,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-15,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-14,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-11,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-10,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-09,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-08,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-07,0.5600,0.5600,0.5600,0.5600,0,0
D,2014-04-04,0.5600,0.5600,0.5600,0.5600,0,0
